source_id,filename,source_license_note
source-001,pair_001_clean.png,"Art Institute of Chicago; title: The Bedroom; creator: Vincent van Gogh (Dutch, 1853–1890); Public Domain (AIC API designation); https://www.artic.edu/artworks/28560"
source-002,pair_002_clean.png,"Art Institute of Chicago; title: Buddha Shakyamuni Seated in Meditation (Dhyanamudra); creator: India
Nagapattinam, Tamil Nadu; Public Domain (AIC API designation); https://www.artic.edu/artworks/21023"
source-003,pair_003_clean.png,"Art Institute of Chicago; title: Paris Street; Rainy Day; creator: Gustave Caillebotte (French, 1848–1894); Public Domain (AIC API designation); https://www.artic.edu/artworks/20684"
source-004,pair_004_clean.png,"Art Institute of Chicago; title: A Sunday on La Grande Jatte — 1884; creator: Georges Seurat (French, 1859–1891); Public Domain (AIC API designation); https://www.artic.edu/artworks/27992"
source-005,pair_005_clean.png,"Art Institute of Chicago; title: Coronation Stone of Moctezuma Xocoyotzin; creator: Maker unknown (Mexica, Aztec)
Probably Tenochtitlan (now Mexico City), Mexico; Public Domain (AIC API designation); https://www.artic.edu/artworks/75644"
source-006,pair_006_clean.png,"Art Institute of Chicago; title: Veranda Post (Òpó Ògògá); creator: Olowe of Ise (died 1938)
Yòrùbá: Èkìtì; Ikere, Nigeria
Coastal West Africa; Public Domain (AIC API designation); https://www.artic.edu/artworks/102611"
source-007,pair_007_clean.png,"Art Institute of Chicago; title: Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series ""Thirty-Six Views of Mount Fuji (Fugaku sanjurokkei)""; creator: Katsushika Hokusai 葛飾 北斎
Japanese, 1760-1849; Public Domain (AIC API designation); https://www.artic.edu/artworks/89503"
source-008,pair_008_clean.png,"Art Institute of Chicago; title: The Assumption of the Virgin; creator: El Greco (Doménikos Theotokópoulos; Greek, active in Spain, 1541–1614); Public Domain (AIC API designation); https://www.artic.edu/artworks/87479"
source-009,pair_009_clean.png,"Art Institute of Chicago; title: Stacks of Wheat (End of Summer); creator: Claude Monet (French, 1840–1926); Public Domain (AIC API designation); https://www.artic.edu/artworks/64818"
source-010,pair_010_clean.png,"Art Institute of Chicago; title: Water Lilies; creator: Claude Monet (French, 1840–1926); Public Domain (AIC API designation); https://www.artic.edu/artworks/16568"
source-011,pair_011_clean.png,"Art Institute of Chicago; title: Two Sisters (On the Terrace); creator: Pierre-Auguste Renoir (French, 1841–1919); Public Domain (AIC API designation); https://www.artic.edu/artworks/14655"
source-012,pair_012_clean.png,"Art Institute of Chicago; title: Self-Portrait; creator: Vincent van Gogh (Dutch, 1853–1890); Public Domain (AIC API designation); https://www.artic.edu/artworks/80607"
source-013,pair_013_clean.png,"Art Institute of Chicago; title: The Child's Bath; creator: Mary Cassatt (American, 1844–1926); Public Domain (AIC API designation); https://www.artic.edu/artworks/111442"
source-014,pair_014_clean.png,"Art Institute of Chicago; title: At the Moulin Rouge; creator: Henri de Toulouse-Lautrec (French, 1864–1901); Public Domain (AIC API designation); https://www.artic.edu/artworks/61128"
source-015,pair_015_clean.png,"Art Institute of Chicago; title: Arrival of the Normandy Train, Gare Saint-Lazare; creator: Claude Monet (French, 1840–1926); Public Domain (AIC API designation); https://www.artic.edu/artworks/16571"
source-016,pair_016_clean.png,"Art Institute of Chicago; title: The Basket of Apples; creator: Paul Cezanne (French, 1839–1906); Public Domain (AIC API designation); https://www.artic.edu/artworks/111436"
source-017,pair_017_clean.png,"Art Institute of Chicago; title: Woman at Her Toilette; creator: Berthe Morisot (French, 1841–1895); Public Domain (AIC API designation); https://www.artic.edu/artworks/11723"
source-018,pair_018_clean.png,"Art Institute of Chicago; title: Saint George and the Dragon; creator: Bernat Martorell (Spanish, active from 1427–died 1452); Public Domain (AIC API designation); https://www.artic.edu/artworks/15468"
source-019,pair_019_clean.png,"Art Institute of Chicago; title: Distant View of Niagara Falls; creator: Thomas Cole (American, born England, 1801–1848); Public Domain (AIC API designation); https://www.artic.edu/artworks/90048"
source-020,pair_020_clean.png,"Art Institute of Chicago; title: The Beach at Sainte-Adresse; creator: Claude Monet (French, 1840–1926); Public Domain (AIC API designation); https://www.artic.edu/artworks/14598"
source-021,pair_021_clean.png,"Art Institute of Chicago; title: The Crucifixion; creator: Francisco de Zurbarán (Spanish, 1598–1664); Public Domain (AIC API designation); https://www.artic.edu/artworks/80084"
source-022,pair_022_clean.png,"Art Institute of Chicago; title: Improvisation No. 30 (Cannons); creator: Vasily Kandinsky
Born Moscow (formerly Russian Empire, now Russia), 1866; died Neuilly-sur-Seine, France, 1944; Public Domain (AIC API designation); https://www.artic.edu/artworks/8991"
source-023,pair_023_clean.png,"Art Institute of Chicago; title: The Herring Net; creator: Winslow Homer (American, 1836–1910); Public Domain (AIC API designation); https://www.artic.edu/artworks/25865"
source-024,pair_024_clean.png,"Art Institute of Chicago; title: The Girl by the Window; creator: Edvard Munch (Norwegian, 1863–1944); Public Domain (AIC API designation); https://www.artic.edu/artworks/154235"
source-025,pair_025_clean.png,"Art Institute of Chicago; title: The Bay of Marseille, Seen from L'Estaque; creator: Paul Cezanne (French, 1839–1906); Public Domain (AIC API designation); https://www.artic.edu/artworks/16487"
source-026,pair_026_clean.png,"Art Institute of Chicago; title: Cupid Chastised; creator: Bartolomeo Manfredi (Italian, 1582–1622); Public Domain (AIC API designation); https://www.artic.edu/artworks/59847"
source-027,pair_027_clean.png,"Art Institute of Chicago; title: The Watermill with the Great Red Roof; creator: Meindert Hobbema (Dutch, 1638–1709); Public Domain (AIC API designation); https://www.artic.edu/artworks/869"
source-028,pair_028_clean.png,"Art Institute of Chicago; title: E10: English Dining Room of the Georgian Period, 1770–90; creator: Designed by Narcissa Niblack Thorne
American, 1882–1966; Public Domain (AIC API designation); https://www.artic.edu/artworks/43714"
source-029,pair_029_clean.png,"Art Institute of Chicago; title: Ballet at the Paris Opéra; creator: Edgar Degas
French, 1834-1917; Public Domain (AIC API designation); https://www.artic.edu/artworks/61603"
source-030,pair_030_clean.png,"Art Institute of Chicago; title: Chicago Stock Exchange Trading Room: Reconstruction at the Art Institute of Chicago; creator: Adler & Sullivan, original architects; American, 1883-1896
Vinci & Kenny, reconstruction architects; American, 1970-1977; Public Domain (AIC API designation); https://www.artic.edu/artworks/156538"
source-031,pair_031_clean.png,"Art Institute of Chicago; title: The Fountain, Villa Torlonia, Frascati, Italy; creator: John Singer Sargent (American, 1856–1925); Public Domain (AIC API designation); https://www.artic.edu/artworks/69780"
source-032,pair_032_clean.png,"Art Institute of Chicago; title: Lozenge Composition with Yellow, Black, Blue, Red, and Gray; creator: Piet Mondrian
Dutch, 1872–1944; Public Domain (AIC API designation); https://www.artic.edu/artworks/109819"
source-033,pair_033_clean.png,"Art Institute of Chicago; title: Nocturne: Blue and Gold—Southampton Water; creator: James McNeill Whistler (American, 1834–1903); Public Domain (AIC API designation); https://www.artic.edu/artworks/56905"
source-034,pair_034_clean.png,"Art Institute of Chicago; title: Acrobats at the Cirque Fernando (Francisca and Angelina Wartenberg); creator: Pierre-Auguste Renoir (French, 1841–1919); Public Domain (AIC API designation); https://www.artic.edu/artworks/81558"
source-035,pair_035_clean.png,"Art Institute of Chicago; title: Landscape with Saint John on Patmos; creator: Nicolas Poussin (French, 1594–1665); Public Domain (AIC API designation); https://www.artic.edu/artworks/5848"
source-036,pair_036_clean.png,"Art Institute of Chicago; title: Fishing Boats with Hucksters Bargaining for Fish; creator: Joseph Mallord William Turner (English, 1775–1851); Public Domain (AIC API designation); https://www.artic.edu/artworks/4796"
source-037,pair_037_clean.png,"Art Institute of Chicago; title: Love of Winter; creator: George Wesley Bellows (American, 1882–1925); Public Domain (AIC API designation); https://www.artic.edu/artworks/109780"
source-038,pair_038_clean.png,"Art Institute of Chicago; title: The Millinery Shop; creator: Edgar Degas (French, 1834–1917); Public Domain (AIC API designation); https://www.artic.edu/artworks/14572"
source-039,pair_039_clean.png,"Art Institute of Chicago; title: Old Man with a Gold Chain; creator: Rembrandt van Rijn (Dutch, 1606–1669); Public Domain (AIC API designation); https://www.artic.edu/artworks/95998"
source-040,pair_040_clean.png,"Art Institute of Chicago; title: Hercules and the Lernaean Hydra; creator: Gustave Moreau (French, 1826-1898); Public Domain (AIC API designation); https://www.artic.edu/artworks/20579"
source-041,pair_041_clean.png,"Art Institute of Chicago; title: Shiva as Lord of the Dance (Nataraja); creator: India
Tamil Nadu; Public Domain (AIC API designation); https://www.artic.edu/artworks/24548"
source-042,pair_042_clean.png,"Art Institute of Chicago; title: Coffin and Mummy of Paankhaenamun; creator: Egyptian; Thebes (now Luxor), Egypt; Public Domain (AIC API designation); https://www.artic.edu/artworks/64339"
source-043,pair_043_clean.png,"Art Institute of Chicago; title: Male Figure (Nkisi Nkondi); creator: Kongo: Vili
Republic of the Congo
Central Africa; Public Domain (AIC API designation); https://www.artic.edu/artworks/151358"
source-044,pair_044_clean.png,"Art Institute of Chicago; title: Woman before an Aquarium; creator: Henri Matisse
French, 1869–1954; Public Domain (AIC API designation); https://www.artic.edu/artworks/27984"
source-045,pair_045_clean.png,"Art Institute of Chicago; title: Equestrienne (At the Cirque Fernando); creator: Henri de Toulouse-Lautrec (French, 1864–1901); Public Domain (AIC API designation); https://www.artic.edu/artworks/16146"
source-046,pair_046_clean.png,"Art Institute of Chicago; title: Jesus Mocked by the Soldiers; creator: Édouard Manet (French, 1832–1883); Public Domain (AIC API designation); https://www.artic.edu/artworks/16499"
source-047,pair_047_clean.png,"Art Institute of Chicago; title: Mountain Brook; creator: Albert Bierstadt (American, born Solingen, Prussia, now Germany, 1830–1902); Public Domain (AIC API designation); https://www.artic.edu/artworks/146701"
source-048,pair_048_clean.png,"Art Institute of Chicago; title: A Young Lady with a Parrot; creator: Rosalba Carriera
Italian, 1673-1757; Public Domain (AIC API designation); https://www.artic.edu/artworks/103887"
source-049,pair_049_clean.png,"Art Institute of Chicago; title: After the Hurricane, Bahamas; creator: Winslow Homer
American, 1836-1910; Public Domain (AIC API designation); https://www.artic.edu/artworks/16776"
