source_id,clean_filename,stego_filename,payload_rate,random_seed,color_mode,width,height,split,format,source_license_note,generation_status,payload_bytes,capacity_bits,embedded_bits,changed_values
source-001,pair_001_clean.png,pair_001_stego.png,0.25,2293146713737507005,RGB,256,256,development,PNG,"Art Institute of Chicago; title: The Bedroom; creator: Vincent van Gogh (Dutch, 1853–1890); Public Domain (AIC API designation); https://www.artic.edu/artworks/28560",generated,6143,196608,49176,24525
source-002,pair_002_clean.png,pair_002_stego.png,0.25,2113474227361586734,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Buddha Shakyamuni Seated in Meditation (Dhyanamudra); creator: India
Nagapattinam, Tamil Nadu; Public Domain (AIC API designation); https://www.artic.edu/artworks/21023",generated,6143,196608,49176,24614
source-003,pair_003_clean.png,pair_003_stego.png,0.25,4698832535130109666,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Paris Street; Rainy Day; creator: Gustave Caillebotte (French, 1848–1894); Public Domain (AIC API designation); https://www.artic.edu/artworks/20684",generated,6143,196608,49176,24842
source-004,pair_004_clean.png,pair_004_stego.png,0.25,8075621207892576927,RGB,256,256,development,PNG,"Art Institute of Chicago; title: A Sunday on La Grande Jatte — 1884; creator: Georges Seurat (French, 1859–1891); Public Domain (AIC API designation); https://www.artic.edu/artworks/27992",generated,6143,196608,49176,24897
source-005,pair_005_clean.png,pair_005_stego.png,0.25,6594989563559044642,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Coronation Stone of Moctezuma Xocoyotzin; creator: Maker unknown (Mexica, Aztec)
Probably Tenochtitlan (now Mexico City), Mexico; Public Domain (AIC API designation); https://www.artic.edu/artworks/75644",generated,6143,196608,49176,24597
source-006,pair_006_clean.png,pair_006_stego.png,0.25,4217329185310946533,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Veranda Post (Òpó Ògògá); creator: Olowe of Ise (died 1938)
Yòrùbá: Èkìtì; Ikere, Nigeria
Coastal West Africa; Public Domain (AIC API designation); https://www.artic.edu/artworks/102611",generated,6143,196608,49176,24600
source-007,pair_007_clean.png,pair_007_stego.png,0.25,6074208424675915902,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series ""Thirty-Six Views of Mount Fuji (Fugaku sanjurokkei)""; creator: Katsushika Hokusai 葛飾 北斎
Japanese, 1760-1849; Public Domain (AIC API designation); https://www.artic.edu/artworks/89503",generated,6143,196608,49176,24486
source-008,pair_008_clean.png,pair_008_stego.png,0.25,7514569865807316717,RGB,256,256,development,PNG,"Art Institute of Chicago; title: The Assumption of the Virgin; creator: El Greco (Doménikos Theotokópoulos; Greek, active in Spain, 1541–1614); Public Domain (AIC API designation); https://www.artic.edu/artworks/87479",generated,6143,196608,49176,24758
source-009,pair_009_clean.png,pair_009_stego.png,0.25,2166478075026662979,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Stacks of Wheat (End of Summer); creator: Claude Monet (French, 1840–1926); Public Domain (AIC API designation); https://www.artic.edu/artworks/64818",generated,6143,196608,49176,24525
source-010,pair_010_clean.png,pair_010_stego.png,0.25,8500557532384798275,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Water Lilies; creator: Claude Monet (French, 1840–1926); Public Domain (AIC API designation); https://www.artic.edu/artworks/16568",generated,6143,196608,49176,24559
source-011,pair_011_clean.png,pair_011_stego.png,0.25,418605458846361505,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Two Sisters (On the Terrace); creator: Pierre-Auguste Renoir (French, 1841–1919); Public Domain (AIC API designation); https://www.artic.edu/artworks/14655",generated,6143,196608,49176,24712
source-012,pair_012_clean.png,pair_012_stego.png,0.25,8526690571336542183,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Self-Portrait; creator: Vincent van Gogh (Dutch, 1853–1890); Public Domain (AIC API designation); https://www.artic.edu/artworks/80607",generated,6143,196608,49176,24599
source-013,pair_013_clean.png,pair_013_stego.png,0.25,5935101712036461578,RGB,256,256,development,PNG,"Art Institute of Chicago; title: The Child's Bath; creator: Mary Cassatt (American, 1844–1926); Public Domain (AIC API designation); https://www.artic.edu/artworks/111442",generated,6143,196608,49176,24727
source-014,pair_014_clean.png,pair_014_stego.png,0.25,8392341115655593399,RGB,256,256,development,PNG,"Art Institute of Chicago; title: At the Moulin Rouge; creator: Henri de Toulouse-Lautrec (French, 1864–1901); Public Domain (AIC API designation); https://www.artic.edu/artworks/61128",generated,6143,196608,49176,24545
source-015,pair_015_clean.png,pair_015_stego.png,0.25,3962585444063544921,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Arrival of the Normandy Train, Gare Saint-Lazare; creator: Claude Monet (French, 1840–1926); Public Domain (AIC API designation); https://www.artic.edu/artworks/16571",generated,6143,196608,49176,24657
source-016,pair_016_clean.png,pair_016_stego.png,0.25,2131659701173218731,RGB,256,256,development,PNG,"Art Institute of Chicago; title: The Basket of Apples; creator: Paul Cezanne (French, 1839–1906); Public Domain (AIC API designation); https://www.artic.edu/artworks/111436",generated,6143,196608,49176,24581
source-017,pair_017_clean.png,pair_017_stego.png,0.25,7142980286617191087,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Woman at Her Toilette; creator: Berthe Morisot (French, 1841–1895); Public Domain (AIC API designation); https://www.artic.edu/artworks/11723",generated,6143,196608,49176,24611
source-018,pair_018_clean.png,pair_018_stego.png,0.25,2680372492268940795,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Saint George and the Dragon; creator: Bernat Martorell (Spanish, active from 1427–died 1452); Public Domain (AIC API designation); https://www.artic.edu/artworks/15468",generated,6143,196608,49176,24668
source-019,pair_019_clean.png,pair_019_stego.png,0.25,6430736092226253492,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Distant View of Niagara Falls; creator: Thomas Cole (American, born England, 1801–1848); Public Domain (AIC API designation); https://www.artic.edu/artworks/90048",generated,6143,196608,49176,24727
